ds,yhat,yhat_lower,yhat_upper,y,y-yhat
2021-03-04 22:30:00,7645.637783371956,7512.104641663345,7774.849793808455,7559.15,-86.48778337195654
2021-03-04 23:00:00,7633.06404800363,7492.257345742316,7765.458295171515,7355.08,-277.98404800363005
2021-03-04 23:30:00,7344.41944078341,7206.384530803093,7485.608713053259,7198.04,-146.37944078341025
2021-03-05 00:00:00,7182.208551520613,7044.054450863023,7335.217130005371,7105.3,-76.90855152061249
2021-03-05 00:30:00,7106.099267227629,6971.07289810841,7235.103403609884,6932.96,-173.1392672276288
2021-03-05 01:00:00,6875.982517325387,6732.904369678893,7010.312460130898,6754.76,-121.22251732538643
2021-03-05 01:30:00,6674.121243481615,6534.090605688871,6820.9809338214,6462.96,-211.1612434816152
2021-03-05 02:00:00,6324.675062880755,6183.971327044038,6463.978079241669,6234.41,-90.26506288075507
2021-03-05 02:30:00,6144.39029213238,6000.3656934544415,6291.991827072515,6119.14,-25.2502921323794
2021-03-05 03:00:00,6136.469638624795,6011.752481990593,6264.209631965235,6086.6,-49.86963862479479
2021-03-05 03:30:00,6207.749110634232,6064.616837784619,6349.444284920849,6158.5,-49.24911063423224
2021-03-05 04:00:00,6392.626802855439,6258.416608761251,6525.581143265045,6218.94,-173.68680285543905
2021-03-05 04:30:00,6499.281140092629,6367.798559181633,6646.9591899608995,6381.92,-117.36114009262928
2021-03-05 05:00:00,6745.469268416787,6604.648022675186,6897.852983517222,6573.47,-171.99926841678644
2021-03-05 05:30:00,6972.348951487744,6844.807968695912,7123.5172633402935,7114.46,142.11104851225627
2021-03-05 06:00:00,7692.157183729134,7555.556109130571,7841.149679660242,7467.89,-224.26718372913365
2021-03-05 06:30:00,7943.46953153836,7804.695245322928,8090.540189400869,7724.6,-218.8695315383593
2021-03-05 07:00:00,8086.435046621798,7943.695018893182,8223.99086705439,7859.24,-227.1950466217986
2021-03-05 07:30:00,8103.39825661323,7964.44975718606,8239.954773563237,7751.32,-352.0782566132302
2021-03-05 08:00:00,7817.996637596938,7687.335406333715,7959.548588599181,7550.68,-267.31663759693765
2021-03-05 08:30:00,7524.649323581855,7388.527276551004,7656.290357720047,7448.48,-76.16932358185568
2021-03-05 09:00:00,7461.214202715484,7324.025976653987,7606.182958664183,7303.54,-157.67420271548417
2021-03-05 09:30:00,7307.492182199219,7169.451091224576,7438.95797669614,7138.87,-168.62218219921942
2021-03-05 10:00:00,7138.22613417415,6996.316345327676,7276.284710840771,7153.42,15.19386582585048
2021-03-05 10:30:00,7264.383651450831,7113.4798505372355,7403.189868600021,7145.26,-119.12365145083095
2021-03-05 11:00:00,7273.0700998943785,7132.840501327119,7415.730426248218,7066.78,-206.29009989437873
2021-03-05 11:30:00,7164.803783886683,7020.944356445155,7294.030923582163,6941.31,-223.49378388668265
2021-03-05 12:00:00,7016.77119288927,6884.555265263711,7149.389545577559,6737.74,-279.03119288927064
2021-03-05 12:30:00,6775.738056544798,6637.63135055808,6931.109677766814,6615.47,-160.26805654479813
2021-03-05 13:00:00,6702.022382025743,6560.633285596649,6839.141884040512,6596.36,-105.66238202574368
2021-03-05 13:30:00,6759.806092709159,6620.9447890342935,6904.380388687782,6621.87,-137.9360927091593
2021-03-05 14:00:00,6834.440057787631,6696.094284920952,6984.938385405997,6672.77,-161.67005778763087
2021-03-05 14:30:00,6919.17410256259,6782.851775502292,7054.457136452404,6822.19,-96.98410256259012
